id,phdr_in_vivo_result_id,phdr_clinical_trial_id
EBR_96:C-EDGE CO-INFECTION,EBR_96,C-EDGE CO-INFECTION
EBR_96:C-EDGE TE,EBR_96,C-EDGE TE
EBR_96:C-EDGE TN,EBR_96,C-EDGE TN
EBR_96:C-SALVAGE,EBR_96,C-SALVAGE
EBR_96:C-SURFER,EBR_96,C-SURFER
EBR_96:C-WORTHY,EBR_96,C-WORTHY
EBR_97:C-EDGE CO-INFECTION,EBR_97,C-EDGE CO-INFECTION
EBR_97:C-EDGE TE,EBR_97,C-EDGE TE
EBR_97:C-EDGE TN,EBR_97,C-EDGE TN
EBR_97:C-SALVAGE,EBR_97,C-SALVAGE
EBR_97:C-SURFER,EBR_97,C-SURFER
EBR_97:C-WORTHY,EBR_97,C-WORTHY
EBR_98:C-EDGE CO-INFECTION,EBR_98,C-EDGE CO-INFECTION
EBR_98:C-EDGE TE,EBR_98,C-EDGE TE
EBR_98:C-EDGE TN,EBR_98,C-EDGE TN
EBR_98:C-SALVAGE,EBR_98,C-SALVAGE
EBR_98:C-SURFER,EBR_98,C-SURFER
EBR_98:C-WORTHY,EBR_98,C-WORTHY
EBR_99:C-EDGE CO-INFECTION,EBR_99,C-EDGE CO-INFECTION
EBR_99:C-EDGE TE,EBR_99,C-EDGE TE
EBR_99:C-EDGE TN,EBR_99,C-EDGE TN
EBR_99:C-SALVAGE,EBR_99,C-SALVAGE
EBR_99:C-SURFER,EBR_99,C-SURFER
EBR_99:C-WORTHY,EBR_99,C-WORTHY
EBR_9:C-WORTHY,EBR_9,C-WORTHY
GLE_11:Magellan-1_Part_2,GLE_11,Magellan-1_Part_2
GLE_16:Endurance-1,GLE_16,Endurance-1
GLE_16:Endurance-2,GLE_16,Endurance-2
GLE_16:Endurance-3,GLE_16,Endurance-3
GLE_16:Endurance-4,GLE_16,Endurance-4
GLE_16:Expedition-1,GLE_16,Expedition-1
GLE_16:Expedition-2,GLE_16,Expedition-2
GLE_16:Surveyor-1,GLE_16,Surveyor-1
GLE_16:Surveyor-2,GLE_16,Surveyor-2
GLE_17:Magellan-1_Part_1,GLE_17,Magellan-1_Part_1
GLE_18:Magellan-1_Part_2,GLE_18,Magellan-1_Part_2
GLE_20:Endurance-1,GLE_20,Endurance-1
GLE_20:Endurance-2,GLE_20,Endurance-2
GLE_20:Endurance-3,GLE_20,Endurance-3
GLE_20:Endurance-4,GLE_20,Endurance-4
GLE_20:Expedition-1,GLE_20,Expedition-1
GLE_20:Expedition-2,GLE_20,Expedition-2
GLE_20:Surveyor-1,GLE_20,Surveyor-1
GLE_20:Surveyor-2,GLE_20,Surveyor-2
GLE_21:Endurance-1,GLE_21,Endurance-1
GLE_21:Endurance-2,GLE_21,Endurance-2
GLE_21:Endurance-3,GLE_21,Endurance-3
GLE_21:Endurance-4,GLE_21,Endurance-4
